Error output is also redirected to the log file.
�Fraction нейроны0: 7765/332Размер list_of_neurons: 205
Размер list_of_synapses: 10105
Fraction синапсы 295: 75/28
Fraction синапсы 296: -98/111
Fraction синапсы 297: 4/1
Fraction синапсы 298: 2818/23553
Fraction синапсы 299: 5887/10496
Fraction синапсы 300: -18431/27904
Fraction синапсы 301: 5120/7939
Fraction синапсы 302: -12034/4095
Fraction синапсы 303: 10241/31489
Fraction синапсы 304: 3/1
Fraction синапсы 305: -30977/29951
Fraction синапсы 306: 28925/6398
Fraction синапсы 307: -6401/27391
Fraction синапсы 308: 13568/9985
Fraction синапсы 309: -277/214
Fraction синапсы 310: -28672/8963
Fraction синапсы 311: 19713/512
Fraction синапсы 312: 7041/6529
Fraction синапсы 313: 26/25
Fraction синапсы 314: -125/32
Fraction синапсы 315: 4481/7553
Fraction синапсы 316: -13057/5630
Fraction синапсы 317: 3/14
Fraction синапсы 318: 31/128
Fraction синапсы 319: -23807/17408
Fraction синапсы 320: -8189/5888
Fraction синапсы 321: -29/35
Fraction синапсы 322: 4/61
Fraction синапсы 323: -2943/12289
Fraction синапсы 324: 18/83
Fraction синапсы 325: -8703/25859
Fraction синапсы 326: 99/32
Fraction синапсы 327: 15744/1279
Fraction синапсы 328: -113/98
Fraction синапсы 329: -18176/14337
Fraction синапсы 330: 11519/10240
Fraction синапсы 331: -10496/13311
Fraction синапсы 332: 183/1024
Fraction синапсы 333: 19709/28928
Fraction синапсы 334: 8/13
Fraction синапсы 335: 7424/2389
Fraction синапсы 336: 19201/17666
Fraction синапсы 337: -27649/26879
Fraction синапсы 338: 61/26
Fraction синапсы 339: 26367/16895
Fraction синапсы 340: -1621/1707
Fraction синапсы 341: -8963/7422
Fraction синапсы 342: 6527/11007
Fraction синапсы 343: 71/2
Fraction синапсы 344: 33/26
Fraction синапсы 345: 14593/30210
Fraction синапсы 346: 30978/21763
Fraction синапсы 347: 16384/15105
Fraction синапсы 348: 22273/31747
Fraction синапсы 349: 28928/20993
Fraction синапсы 350: -9301/1280
Fraction синапсы 351: -20223/2819
Fraction синапсы 352: 97/45
Fraction синапсы 353: -28931/32253
Fraction синапсы 354: 42/65
Fraction синапсы 355: -12033/21248
Fraction синапсы 356: 61/6
Fraction синапсы 357: 9087/10880
Fraction синапсы 358: -24065/29952
Fraction синапсы 359: -6658/5375
Fraction синапсы 360: 10880/8193
Fraction синапсы 361: -4949/9472
Fraction синапсы 362: 18687/27647
Fraction синапсы 363: -639/6785
Fraction синапсы 364: 16641/19457
Fraction синапсы 365: 39/59
Fraction синапсы 366: -5375/9474
Fraction синапсы 367: -6656/25859
Fraction синапсы 368: -9219/22781
Fraction синапсы 369: -14464/13311
Fraction синапсы 370: 10243/4864
Fraction синапсы 371: -25856/29951
Fraction синапсы 372: 23299/4098
Fraction синапсы 373: 3328/14847
Fraction синапсы 374: 8449/24834
Fraction синапсы 375: -12543/25088
Fraction синапсы 376: 4352/3073
Fraction синапсы 377: 21/13
Fraction синапсы 378: -11/12
Fraction синапсы 379: -24063/32515
Fraction синапсы 380: 9089/257
Fraction синапсы 381: -10837/8107
Fraction синапсы 382: -11007/4096
Fraction синапсы 383: -20993/26366
Fraction синапсы 384: -16128/29185
Fraction синапсы 385: -124/59
Fraction синапсы 386: -27133/1282
Fraction синапсы 387: 93/101
Fraction синапсы 388: 4352/28671
Fraction синапсы 389: -11008/14847
Fraction синапсы 390: 25091/1794
Fraction синапсы 391: 987/1426
Fraction синапсы 392: -25853/5632
Fraction синапсы 393: 25600/16127
Fraction синапсы 394: 9729/26369
Fraction синапсы 395: -27904/5375
Fraction синапсы 396: -32515/17407
Fraction синапсы 397: -109/74
Fraction синапсы 398: 14/3
Fraction синапсы 399: -2/35
Fraction синапсы 400: 5376/641
Fraction синапсы 401: 9/1
Fraction синапсы 402: -28415/8194
Fraction синапсы 403: 5118/22783
Fraction синапсы 404: -11008/19455
Fraction синапсы 405: -111/17
Fraction синапсы 406: -24317/26626
Fraction синапсы 407: 20737/6146
Fraction синапсы 408: -3074/30975
Fraction синапсы 409: 20736/21761
Fraction синапсы 410: 24318/16637
Fraction синапсы 411: 16643/12545
Fraction синапсы 412: 113/55
Fraction синапсы 413: 119/48
Fraction синапсы 414: -19199/31747
Fraction синапсы 415: 6273/5120
Fraction синапсы 416: 1/15
Fraction синапсы 417: -6911/25346
Fraction синапсы 418: 14333/7424
Fraction синапсы 419: 13823/639
Fraction синапсы 420: -23298/23039
Fraction синапсы 421: 20736/11009
Fraction синапсы 422: 123/118
Fraction синапсы 423: 92/55
Fraction синапсы 424: 1537/23811
Fraction синапсы 425: 14592/7681
Fraction синапсы 426: -14337/13568
Fraction синапсы 427: -43/2176
Fraction синапсы 428: 93/98
Fraction синапсы 429: 21/65
Fraction синапсы 430: 11519/27392
Fraction синапсы 431: -512/1459
Fraction синапсы 432: -24317/3074
Fraction синапсы 433: -9728/30465
Fraction синапсы 434: 19198/11519
Fraction синапсы 435: 5377/3841
Fraction синапсы 436: -1991/1906
Fraction синапсы 437: -6399/31744
Fraction синапсы 438: 1792/27903
Fraction синапсы 439: -53/61
Fraction синапсы 440: -6144/6571
Fraction синапсы 441: -29951/19712
Fraction синапсы 442: 81/80
Fraction синапсы 443: 33/32
Fraction синапсы 444: 7683/14080
